departure location: 43-237 or 251-961
departure station: 27-579 or 586-953
departure platform: 31-587 or 608-967
departure track: 26-773 or 784-973
departure date: 41-532 or 552-956
departure time: 33-322 or 333-972
arrival location: 30-165 or 178-965
arrival station: 31-565 or 571-968
arrival platform: 36-453 or 473-963
arrival track: 35-912 or 924-951
class: 39-376 or 396-968
duration: 31-686 or 697-974
price: 28-78 or 96-971
route: 32-929 or 943-955
row: 40-885 or 896-968
seat: 26-744 or 765-967
train: 46-721 or 741-969
type: 30-626 or 641-965
wagon: 48-488 or 513-971
zone: 34-354 or 361-973

your ticket:
151,71,67,113,127,163,131,59,137,103,73,139,107,101,97,149,157,53,109,61

nearby tickets:
680,418,202,55,792,800,896,801,312,252,721,702,24,112,608,837,98,222,797,364
876,910,289,816,873,280,791,313,641,15,719,587,353,366,617,710,565,419,339,621
869,683,645,185,121,51,670,401,308,213,54,150,813,264,330,50,444,825,837,368
244,131,561,851,165,270,78,573,818,869,946,370,527,866,655,816,146,792,431,431
626,744,334,482,185,797,770,723,532,475,441,62,837,657,412,106,404,433,577,439
610,514,611,681,156,854,838,126,524,710,518,193,744,857,258,642,12,273,192,221
215,408,404,344,319,720,403,434,885,248,707,195,672,312,809,855,118,529,673,439
103,402,226,678,711,212,843,806,358,436,342,257,98,401,527,831,524,401,275,709
429,906,336,77,146,122,179,295,251,529,487,858,901,71,417,477,458,474,154,786
903,313,919,564,904,853,673,373,209,408,825,516,441,818,474,773,556,848,151,229
96,861,791,620,929,256,587,211,250,684,420,258,365,96,104,653,368,528,784,817
898,866,669,867,901,618,575,210,498,265,413,556,190,376,624,818,295,294,431,649
50,346,807,717,850,820,791,561,486,752,414,669,927,72,205,117,137,564,744,799
600,109,553,712,141,649,929,799,204,788,310,71,926,197,348,293,103,667,67,907
369,60,369,443,209,220,453,853,525,231,155,412,4,161,576,852,856,898,119,829
420,272,878,835,449,359,678,236,664,579,158,908,264,620,286,699,838,354,519,906
331,716,527,851,431,297,57,70,109,102,195,346,901,372,818,210,223,554,800,50
912,715,194,876,927,96,827,943,445,438,79,799,885,563,904,142,254,519,883,815
858,554,559,194,840,867,434,825,946,443,663,654,258,924,617,412,916,263,269,619
412,808,836,128,67,928,985,742,827,199,800,924,277,281,52,769,707,784,518,345
398,408,187,164,438,720,813,366,345,449,979,266,902,376,905,259,428,74,53,56
308,520,425,339,430,279,847,417,308,118,772,1,659,302,305,612,522,623,209,52
680,205,199,842,309,563,520,340,609,787,118,140,827,418,149,485,795,22,531,225
521,862,352,410,674,317,59,222,529,586,838,979,876,96,946,810,792,436,224,811
112,306,194,802,319,339,659,137,312,234,294,701,288,130,847,397,22,715,576,70
225,68,221,56,844,179,854,181,310,620,71,208,850,585,417,254,876,830,908,98
435,929,398,830,283,925,749,178,204,58,650,144,707,876,352,372,126,370,803,844
182,842,804,858,354,823,684,22,76,617,396,73,835,521,149,203,851,853,215,716
233,178,770,847,440,336,520,816,873,818,588,835,251,882,698,397,310,270,133,872
509,221,402,766,801,837,485,900,672,652,647,311,292,773,856,430,185,183,407,927
124,870,133,420,865,338,196,318,119,742,430,102,555,915,815,154,835,807,180,803
368,259,784,111,226,117,835,150,354,69,340,676,767,141,537,445,134,164,571,790
879,616,419,449,261,78,522,265,348,832,393,264,704,806,902,838,811,651,680,125
406,396,161,517,900,261,803,63,339,60,906,62,842,785,121,861,262,867,700,242
898,641,654,560,859,231,397,252,477,157,681,186,477,194,420,282,153,914,611,866
813,20,771,655,408,864,851,260,874,949,431,901,143,251,879,449,718,515,435,852
710,56,218,785,211,713,711,438,626,64,583,215,741,165,315,911,191,297,333,686
431,218,299,274,773,201,405,907,673,287,930,911,315,103,481,488,677,808,276,193
662,907,796,401,409,812,182,485,854,477,702,831,262,855,999,527,212,318,854,681
213,653,734,363,615,453,218,906,405,770,199,191,221,681,767,272,210,682,200,179
375,832,786,316,452,809,908,218,488,875,190,712,482,678,66,726,424,948,75,363
575,831,402,860,333,315,524,587,402,531,714,520,57,568,430,103,828,800,313,179
810,101,209,741,837,818,56,915,292,947,943,318,165,701,788,851,366,55,622,418
914,834,72,372,879,352,142,708,834,667,191,609,117,162,268,481,576,836,346,188
667,620,767,269,311,884,275,332,56,155,901,797,798,642,907,482,61,612,366,906
853,944,802,987,337,136,664,795,562,56,587,475,349,407,785,833,272,197,658,76
181,180,56,265,561,333,235,161,361,704,612,623,703,748,525,702,622,564,855,109
865,160,289,530,805,821,515,799,265,224,262,677,904,858,811,22,217,699,614,804
787,299,882,294,989,444,284,401,717,102,398,432,433,285,342,488,699,741,662,845
274,556,342,270,616,114,214,586,62,435,552,718,813,194,721,686,15,912,821,310
833,97,123,151,203,234,436,264,125,329,787,481,342,435,622,855,833,312,798,714
219,475,819,115,265,269,431,138,452,149,625,433,300,553,105,218,907,347,856,596
429,658,114,274,789,849,212,7,304,281,744,60,614,906,366,189,653,448,164,291
58,766,409,707,659,68,182,861,597,370,671,407,57,615,787,642,128,376,555,290
662,432,146,300,228,561,819,539,677,369,348,680,363,208,720,587,336,157,841,397
870,150,556,206,442,199,980,299,527,449,437,216,52,577,210,181,119,844,113,800
293,299,816,96,949,215,724,333,165,896,298,649,564,552,190,860,836,312,829,474
104,226,201,482,713,681,141,925,741,201,450,274,718,877,915,56,230,786,787,475
134,134,477,369,354,665,164,258,949,111,523,869,481,636,928,209,851,430,527,702
826,73,74,732,74,863,488,237,96,683,334,212,873,873,670,624,879,845,301,354
784,228,566,101,899,474,400,232,795,676,216,837,452,744,340,876,361,706,60,805
650,872,275,642,371,676,841,683,619,620,625,683,123,767,202,441,274,416,445,940
279,136,878,619,838,416,319,102,420,253,112,142,223,336,927,403,945,443,624,358
271,622,97,865,517,202,908,178,570,448,52,284,649,260,270,427,372,62,798,769
356,69,74,480,59,884,744,523,555,720,574,483,131,211,409,194,401,153,682,767
929,184,710,772,909,818,267,677,513,222,513,563,72,530,371,4,810,403,68,264
789,446,418,843,184,657,325,903,553,117,857,118,290,773,320,516,828,251,905,122
420,832,526,401,204,483,300,422,837,550,361,452,855,259,717,149,896,335,259,618
412,178,129,624,60,929,310,530,295,354,275,353,114,927,254,4,160,451,668,835
226,831,110,76,573,201,655,609,21,656,64,614,154,273,898,315,618,183,513,315
161,842,295,823,835,207,99,147,528,98,830,928,410,368,269,360,818,210,844,299
59,900,515,246,487,844,703,122,909,821,190,275,271,653,577,144,165,345,131,144
864,437,115,567,120,671,99,51,875,875,404,552,817,613,857,572,650,50,270,183
526,233,771,563,802,766,220,553,684,60,344,814,560,826,148,570,400,52,422,187
338,948,443,144,705,126,874,438,412,478,636,73,102,698,412,820,218,681,345,311
448,336,136,785,298,153,99,113,365,311,881,861,278,190,314,811,213,726,854,478
341,402,719,812,647,679,610,446,164,858,370,436,608,219,263,7,74,719,134,575
108,815,307,658,845,144,855,308,20,708,336,785,815,433,220,434,704,884,236,123
283,416,97,846,163,769,339,164,54,77,820,768,75,219,148,859,770,943,731,107
477,879,632,682,376,703,307,427,269,71,766,480,945,403,53,255,907,264,119,449
932,375,479,905,155,672,182,848,477,479,484,236,375,338,150,709,698,375,186,794
849,141,709,158,161,342,564,847,262,623,665,147,213,198,759,621,744,823,853,709
727,788,294,826,182,189,421,793,642,345,235,292,137,703,901,425,309,334,834,410
157,122,524,524,673,656,858,129,668,308,421,854,848,806,477,616,556,359,844,478
798,672,806,530,408,793,281,901,300,812,432,573,138,20,98,346,133,274,408,794
124,209,55,561,260,620,617,777,668,124,414,658,659,348,877,842,75,197,430,863
211,922,946,486,292,879,678,162,267,403,156,744,766,430,310,849,303,479,709,865
316,368,668,254,514,209,443,150,128,421,183,479,62,909,730,126,372,289,130,608
197,237,824,844,514,428,828,221,206,578,311,434,702,279,153,338,854,113,879,751
794,766,838,417,198,148,558,532,302,664,519,483,828,294,578,931,426,121,528,165
676,664,712,257,743,670,703,264,115,842,857,163,611,798,221,408,573,525,462,909
644,708,620,878,843,280,841,847,839,824,376,609,556,811,316,548,486,414,898,657
530,253,787,302,516,202,117,259,69,618,450,233,944,900,528,453,723,697,432,641
519,413,683,475,708,345,612,572,269,57,685,199,666,320,147,770,263,186,357,133
186,441,66,283,227,344,349,874,855,137,210,224,422,77,939,705,403,904,790,524
152,303,611,665,103,614,181,827,867,131,488,866,770,514,340,372,882,288,835,776
