92841,26920,35083
36867,6964,58284
32732,71331,39573
94492,47307,28589
69970,86217,56979
3210,1054,27913
19052,67537,78489
49005,22815,20805
57002,85360,17316
10904,33579,97480
32913,10113,80673
81946,66222,53990
39032,50527,24806
21207,24855,91301
73917,28155,82544
43794,6697,86609
68094,7823,80473
65493,82897,7324
54654,62860,29753
66247,4729,24671
26456,45743,17344
99950,64502,88736
33360,43559,26116
19769,60091,28501
89588,31333,26405
8600,36341,31014
81353,42957,81480
31418,10056,8299
49036,93430,51573
50594,2418,15734
89754,68789,76734
34170,56884,50730
81968,14536,44436
53119,1951,4285
78317,6300,83860
41640,56228,42710
34551,95367,890
70847,34127,42377
89016,9400,72556
52118,26388,37976
73092,81901,53965
29538,6105,42765
58648,87411,20711
44830,90425,87778
39099,99386,40793
12133,12492,43843
46630,67563,28584
68397,50160,24357
71522,89667,66138
27702,58019,17797
98534,54692,31035
57778,73218,20038
67318,32279,42842
78402,11513,98166
3165,11872,59925
89868,84571,25471
86503,73731,42043
38632,95167,54498
24997,57037,42118
80063,24386,27233
52731,37760,47647
19776,46598,94885
87111,98612,25368
80077,19489,21935
98415,28869,93261
79138,55779,76597
37939,9980,14020
1267,20081,24904
84134,26354,2097
63182,49656,43555
52597,90337,13775
14598,53468,65000
25612,42189,36010
53166,34393,47651
13983,54714,35779
67635,18076,41421
64374,47241,47245
10545,80629,970
56101,95019,86921
77014,82739,66352
57459,61644,72261
34374,58238,17748
72083,18032,78222
60428,15645,1579
60273,29761,91466
32827,62293,50040
29781,85868,55382
41146,65046,35065
69204,22697,30352
44418,75770,78620
60328,5175,94673
8540,69368,81936
46663,14184,98482
95358,52188,61841
99302,58115,98930
35230,30044,34919
1951,82912,53507
50669,74214,58343
49587,71005,69166
12817,27692,13514
63627,97752,61767
66396,14457,55232
81336,34583,49675
68249,65460,54973
80616,25281,77586
15849,40333,49371
92811,37641,41960
98616,45558,69285
94019,62703,25606
86720,25206,35764
79894,46868,34754
17441,12660,15212
54134,86466,89021
91,47837,60634
28827,58830,94171
36723,65750,95101
28204,28058,48729
13350,37626,47214
81706,93216,25878
29227,56467,67539
75462,45995,521
43398,96031,15803
76335,72856,47291
80604,63801,23217
14693,76482,88960
95065,47715,5159
28623,7903,65432
73439,92307,89
94174,76523,25572
43268,37201,85484
77628,36620,29144
60328,62381,47582
98977,51321,16713
91458,37828,2378
19742,69978,33014
12646,98687,9984
11418,3887,73099
88460,15186,41284
12135,93824,75528
50065,27070,39338
28334,97181,41426
10567,33615,80678
67569,31696,82459
4771,34977,76168
45972,58525,20836
15454,94262,54086
7482,99803,76315
87183,58216,39645
47728,29980,58220
12952,90045,52902
944,58726,17358
47883,23198,39814
80927,17175,60073
19051,86111,27779
30102,4537,36228
66333,93325,85086
31241,69403,91997
12182,24314,32383
72803,45497,82940
1164,58175,85062
3206,35368,35376
72949,83105,62863
38727,83777,3806
61683,30965,98264
84459,48027,33183
93175,37299,85054
93096,99517,33952
75511,22935,7490
12662,57323,30716
99743,78541,81994
32218,5988,27245
44683,80672,13078
16363,27102,23021
70767,11090,61700
66176,78526,91742
81099,65611,61675
63947,60225,78161
72929,98665,21461
18226,29864,22859
63206,33639,332
14019,99067,57007
21092,37749,94468
68029,13587,29293
47424,20409,92668
12627,44659,86838
35898,87444,98962
71072,43789,90815
30870,36205,14900
60184,41390,32552
38020,24029,52833
51477,59982,20252
93971,28303,78845
67203,22144,8376
84720,73047,8776
35978,84390,83619
42606,32212,617
12522,5092,71368
95880,28198,49596
17224,85778,57310
26624,33190,45832
745,74236,70315
82749,4853,70481
72458,6657,25489
84220,21297,63376
13591,74641,98331
38076,18422,67283
35189,35421,86339
66240,96074,52646
49767,65581,21234
55578,81518,66916
12184,22675,95300
39700,57965,56608
23193,23395,56734
58970,97329,39482
44029,92501,15723
81604,83674,2080
23794,85590,40374
54888,94309,50840
36021,80089,22249
20452,91058,16378
58834,10825,84847
3538,14443,70174
97086,12047,45150
99011,48450,87632
66707,70056,70545
79006,85307,78046
51232,14711,1608
45448,14747,35789
96226,24053,70601
75772,87058,7048
60198,98245,14911
95230,24596,58897
50553,15079,35881
96679,67545,37245
72955,84518,18209
90378,70701,80192
19700,56984,39992
22746,71006,2040
896,68459,5319
49457,18913,66329
43880,41082,5772
38672,73309,94001
84100,74363,67281
97492,6372,15879
22290,45388,20429
46432,65346,94046
39479,68699,16385
33053,76775,34696
80015,94454,62838
99184,87986,47374
64721,52242,86209
95690,56542,55528
36988,35790,52777
90081,99636,34741
60260,89411,30233
53505,51515,12265
55813,88563,26293
25961,89806,13629
45638,58855,56605
22717,74412,13601
34259,59840,5259
49885,38841,48872
6019,73526,2986
40978,599,49911
18528,84368,72359
74106,50715,1473
51782,22421,3710
67973,94382,14187
46417,14087,68598
76099,49215,75203
249,11114,48944
72212,73841,80836
47314,93816,80630
54210,60317,27756
58237,10358,9760
65507,61601,2524
76818,7661,85002
50512,98708,73385
60278,76847,67911
67206,47695,97461
6720,56458,19323
20331,13484,41424
86322,58451,69308
62126,12991,79449
21064,37345,83535
59285,17477,5630
79628,87647,26329
69254,95274,57318
42177,91392,63351
17683,52675,76713
18369,56469,47854
65388,41083,5508
68515,80867,61374
21705,17995,9928
70228,38457,34673
28366,64305,94378
2069,62697,16965
43591,78394,44210
7962,17005,60260
40377,15438,8230
65436,64963,64176
86244,70094,73860
64155,14015,67132
7340,16875,87404
68317,35461,90334
7452,11382,62522
72696,76756,72320
5889,64862,79466
65618,43905,94703
80538,73852,45117
64768,42831,31372
47985,55682,27632
14816,48850,12181
26421,23026,49362
48041,56001,98034
73310,26315,64433
66097,66389,53479
33162,45826,21836
65843,96816,34602
8304,20885,5357
73571,44538,70923
15974,4931,77961
84274,70143,83944
33425,53337,28700
17493,46093,77584
54700,43036,62166
85249,48518,54934
77693,11398,47563
20144,29991,24534
7212,55385,66787
86416,42485,35859
17924,70399,70934
90235,45105,40474
96791,96446,72665
76969,82003,11994
21535,4231,80138
55496,8573,42015
59746,52540,2241
34913,11543,88841
75357,65045,42304
92387,87550,82354
82678,29401,99374
86679,27993,27522
41023,17056,43621
84847,69730,79498
79544,31986,78553
16099,83599,52926
6967,59509,87521
73769,56743,21700
26902,50195,66867
91978,36977,51624
45506,43327,24957
16359,32145,76161
2940,17390,44949
74840,26774,54811
31121,74600,46453
81583,96092,8720
20878,59689,89741
16367,61751,49901
90989,21093,68876
74317,51934,13214
15060,56690,99765
46512,50945,17950
55021,90189,3843
61491,84508,24163
98274,29535,38107
82010,95695,4468
12506,97752,35505
546,78952,5650
15898,76039,13776
46004,20743,54976
82723,3288,24953
93603,76058,18408
75924,48726,39383
86579,90462,93971
34144,51773,46087
2923,25661,3141
11285,43994,89845
47130,12539,56110
52173,89229,96158
43809,93917,93644
11975,18785,46644
68767,33850,47248
31895,36474,81249
40402,20104,8189
17365,52184,82065
98886,55830,53790
84556,39030,864
19901,55712,85424
98871,44789,77764
15747,74692,67085
87253,12578,27401
5983,3704,84920
41270,36624,15079
36145,32300,72556
15615,3868,62573
94090,82635,70357
59539,5575,52734
61562,28588,15688
93704,22837,31569
83424,91440,22887
65304,30366,75861
1606,39814,85650
86920,38392,60732
53932,41702,85584
31894,5128,62388
36082,37863,6193
88756,88438,50498
4247,49502,39161
44657,33531,45831
87094,54759,38744
95793,34268,62834
68774,56117,30911
69532,8815,32801
48400,59643,47803
85466,95213,63147
61306,42005,79543
19759,68114,58089
93814,50030,59103
64801,65985,98051
18333,51244,19106
50970,54191,77399
72331,28257,29708
25571,35470,20912
49440,91906,16446
7385,676,28334
12000,71790,10814
50800,60865,51231
23822,83097,43891
76236,96466,53566
44652,82468,911
71301,78379,36917
2148,91498,37247
69487,66131,18660
30727,45816,83314
69491,54538,81597
50300,22502,48513
37933,3568,62082
89227,64105,9478
94916,58357,64690
76255,85144,72469
65462,10331,50964
8219,73754,11554
64264,1845,67879
11504,41240,541
84034,54826,46221
41936,82682,5396
13717,96747,87288
3750,30937,28062
72161,87946,91059
62009,91085,21461
97813,81180,50792
5383,66512,10675
41769,20912,62632
72550,435,86347
53954,7389,30658
81628,28972,60408
6487,5444,75899
76706,91849,74251
91603,57747,84946
39934,36943,74845
45835,10507,8360
80235,23968,75192
9595,81262,29533
6684,81726,66343
7719,86463,54426
74844,80405,47197
81701,57997,25213
74619,7114,69758
10012,61518,97431
79326,92287,61766
91242,99415,10627
82501,26743,53567
31000,58971,57607
53450,87504,37076
99851,53730,57468
2780,8278,92311
98900,31277,86402
91318,26513,19866
36857,86753,16156
30783,53417,9232
69504,19815,5085
55449,86925,5381
25841,59889,40355
34917,80393,2909
96089,1221,51067
17727,53909,22843
78981,92034,70911
28222,84135,96356
60798,23114,94673
20906,69684,1686
91313,15035,53331
11555,45052,11743
26437,56940,16270
86505,38108,28247
33282,61529,98151
63740,65336,78867
42782,63956,6537
48368,75527,3220
46137,37787,46747
77629,90108,35446
73503,34293,37325
42206,38537,83275
90030,65310,13520
68760,76275,6642
6311,88373,86445
91202,45971,94711
26264,36221,62058
87945,84974,49309
38309,36416,25006
86810,85013,18516
53977,36035,71967
15496,22374,81888
45248,54416,51874
17803,49548,83021
86718,90282,34546
85219,40589,67373
12667,25011,96397
74424,88372,47580
88694,90305,10373
4921,35969,77507
30147,97350,90973
77944,38271,95810
84948,29695,6981
98557,69908,99196
89235,72208,21123
18534,14700,74677
78969,22347,18062
77056,60115,86733
29148,14626,97621
40316,24437,52709
18225,91697,70704
50960,93595,58004
1293,26559,16529
85509,29369,31041
29251,88740,78902
71704,40811,51499
68927,83206,5736
98372,19011,20940
34093,64088,10431
39536,71198,30151
77824,98415,26365
22328,67577,14339
47450,99588,44317
69597,53238,52969
83170,46705,75281
45112,99660,60827
61569,20611,60488
14172,5946,95343
194,10425,92794
21204,13065,92412
31012,1873,65368
510,27709,17636
72715,48686,74543
88179,28038,86542
3456,18059,62195
48795,39817,57715
79884,19127,13237
17467,76839,62619
88731,37888,33400
47623,1537,43381
74703,90223,72830
87716,47061,23050
63208,38608,81090
8383,11613,64483
45258,1241,43530
74848,81723,88388
68712,58794,93748
12499,20615,9305
80713,79906,61294
85924,88002,52834
13851,53781,44937
38663,24381,92777
15291,20152,64611
23869,37582,70727
90288,77780,12682
81463,77405,90159
25723,93573,84505
52324,9954,98728
83565,61362,59029
94700,71037,81889
28987,85542,4134
65196,94515,2266
2646,32552,9311
14632,43758,57148
85707,68993,44371
14304,43291,47028
43242,79404,63680
10583,42356,56483
33795,7766,54791
12731,12145,32894
4221,72549,32217
90088,81060,12585
79052,28379,42097
71569,75394,30413
36791,97394,73203
21550,4933,51980
16187,59654,50105
61754,65860,95717
92773,69559,34423
3055,19474,20165
54638,38785,2487
5985,22405,70240
81915,48012,49723
4596,1727,76987
62328,50039,28152
75601,10963,98135
65969,9810,51732
425,21259,8390
98436,57829,42012
88527,87492,2976
36772,91942,98824
26250,20616,12773
88896,33381,44261
13674,55235,71745
10792,40498,25970
84747,93047,35116
59088,47785,8756
88621,20504,68856
48065,78223,59254
54319,45663,46774
4128,12047,45771
47127,5843,95940
79986,18810,50287
56971,4568,52815
73873,15399,72761
44368,45128,79299
29383,22347,5516
17783,46907,68461
26068,29251,95837
16506,68663,90654
85454,20960,96220
11896,85878,50211
54322,68482,67735
39769,17863,27269
73782,8540,25625
