Card   1:  4 16 87 61 11 37 43 25 49 17 | 54 36 14 55 83 58 43 15 87 17 97 11 62 75 37  4 49 80 42 61 20 79 25 24 16
Card   2: 15 53 49 30 36 68 76 12  2 73 |  3 18 33 27 34 75  5 29 57 89 96 51 85 41  4 46 30 79 78 43 23 36 73 53 98
Card   3: 47 63 83 92 61 40 42 46 48 45 | 48 43  8 49 77 80 56 50  7 31 13 70 74 37 92  1 20 25 76 90 81  9 52 24 16
Card   4: 67 55 70 16 95 64 27 10 48 62 |  6 36 54 22 85 27 73 29 74 96 11 62 48 38 90 94 70 12 67 17 64 95 18 37 55
Card   5: 27 94 48 79 51 46 63 69 50 84 | 15 53 62 45 21 66 84 51 29 40 25 43 27 88 79 63  3 54 48 23 90 69 94 74 36
Card   6: 46  7 45  1 65 32 37 66 51 95 | 87 61 56 84 44 25 80 37 31 23 91 92 99 47 15 96 33 14 42 89  5  3 46 59 85
Card   7:  4  1 78 46 99 72  3 79 43 54 | 22 20 16 46 27 93 81 99 56 59 10 35 91  2 77 87 19 92 54 28 17 90  4 38 79
Card   8: 63 26  3 54 44 86 19 28 79 20 | 86 33 59 15 92 73 39 28 36 13 14 97 45 43 80 50  7 12 96 38  2 79 72 10 35
Card   9: 11 96 56  3 25 87  9 20 19 67 | 84 25  9 83 67 13 95 45 72 87 58 14 43  5 52 49 93 19 42 48 18 59  3 66 20
Card  10: 74 16 70 84  4 24 46 15 86 11 | 45 72 15 88 25 27 52 65 28 96 19 50 39 40 80  6 30 89 60  8 69 79 17 41 47
Card  11: 45 38 25 87  9 41  3 35 64 77 | 15 46 14 73  7 81 61 19 51 98 70 18  9 65 57 36 37 49 34 47 89 84 16 27 53
Card  12: 40 96 29 71 34 53 67 64 78 32 | 56 55 13 62  6 89 77 25  9 80 39 12 35  3 48 36 34 18 27 79 26 41 20 23 17
Card  13: 93  5 47 17 31 80 10 99 91  4 | 59 13 55 19 99 90 39 12 82 87  5 57 84  8  3 36 11 58 35 25 95 14 16  6 30
Card  14:  4 32  1 34 27 57 33 52 90 84 | 72  9 82 23 37 78 93 95 24 50 56 69 85 81 99 62 80 63 47 68 51 17 15 14 92
Card  15: 96 89 22 38 81  6 12 44 70 30 | 64 13 60 59 47 37 43  1 21 18 66 15 98 73 49 69 33 93 68 31 36  3 51 77 28
Card  16: 96 48 58  8 40 16 61  4 99 90 | 70 60 35 29 36 37 66 27 23 59 12 85  5 52 19 38 74 50 71 31 39 98 78 77 26
Card  17: 26 68  8 27 54 67 33 70 43 36 | 94 79 34 54 68 44 40 27 12  6 84 62 29 53 38 33 61 71 97 45 65 42  4 30 55
Card  18: 51 71 13 82 33 53 47  6 52 91 | 31 38 13 76  3 39 79 49 86 68 52  6  9 33 20 23 71 51 47 96 72 88 91 82 65
Card  19: 30 40 87 47 80 51 67 56 36 91 |  3 97 96 47 64 50 16 51 25 52 94 36 81 78 83 40 84 54 55 15 91  2 74 37 80
Card  20: 86 62 88  4 52 36 46 97 50  8 | 52  2 50 80 13 16 86 31 24 34 36 46 96 62  4 48 85 97 98 33 88  8 90 89 53
Card  21:  5 51 41 45 92 12 30 53 55 46 |  5 31 88 83 97 16 41 23 32 56 63 34 73 50 51 91 40 43 14 79 58 86 30 20 45
Card  22: 13 79 51 15 67 12 86 75 37 60 | 41 62 45 40  1 48 65 15 90 64 93 80 37 14 84 86 78 22 67 71 19 91 75 53 82
Card  23: 83 38 65 66 61 68 73 45 94 37 | 61 68 80 46 58 63 57  9 29 76  7 14 43 72 88 40 92 31 48 87 21 77 20 70 19
Card  24: 68 46 99 43 94  9 59 90  7 57 | 81 36  8  9 57 52 80 88 91 67 14 30 61 46 64 32  3 17 19 47 53 37 60 34 85
Card  25: 33 62 17 70 92 78 82 65 71 29 | 32 86 68 45 40  8  6 48 90 55 81 87 70 62 99 52  2  1 15 44 18  4 47 92 66
Card  26: 30 72 85 50 56 39 73 64 74 87 | 18 79 67 19 56 74 30 50 95 77 72 94 55 42 51 38 91 66  9 17 75 97 70 85 48
Card  27: 62 44 63 58 23 75 35  2 39 98 | 71 41 79 82 51 55 38 66 91 24  3 85 16 87 17  8 22 28 19 48 11 84 90 63 65
Card  28: 21 79 50 96 63 37 12 81  7 34 | 86 46 22 94 25 35  1 97 36  2 50 79 98  5 72 49 13 78 75 84 61 54 17 44 87
Card  29: 42 33 88 19 31 10  7 40 54 75 | 82 41 93 27 37 80  6 36 76  3 24 67 16 50 98 66 35 34 49 15  1 57 25 59 92
