150191335679733, 257950211885619, 282767497332049 @ 239, 57, 42
310843966440013, 307550528062309, 305058399233591 @ -42, -26, -8
240206072440513, 257955942583195, 339853739319015 @ 44, 13, 18
328079942790643, 130261907815999, 359206049223751 @ -79, 103, 68
337351249739861, 346613199166195, 166455715168049 @ -117, 180, -22
382999595831807, 263997929458185, 339398189509755 @ -215, 146, -240
292215971658941, 304660684415491, 239751607871097 @ 25, 31, 36
261178320787189, 287724824678835, 503081974721809 @ 23, -19, -244
293003786105741, 51817612834630, 261778233638086 @ -14, 406, 84
324292847613041, 239337776311060, 180831151904691 @ -50, 304, 159
373892219798917, 448206573149333, 494171938903391 @ -174, -316, -506
291958189750333, 211200561289494, 545387282887706 @ -30, 66, -236
102766637116733, 328580991181069, 348319849851581 @ 162, -97, 69
308653288538078, 359626279981411, 327170604352079 @ -51, -127, 43
170774505741846, 359317723314818, 240337301448910 @ 167, -124, 138
296280186465071, 297044261027861, 203674632219147 @ 112, 239, -25
248396036887021, 191015517936307, 136707223922765 @ 6, 49, 295
227833094847589, 318089240169947, 261826971642057 @ 122, -39, 57
352695610032885, 336153033721715, 224395399593905 @ -147, -21, 7
270294479305712, 318237058993306, 438449202167725 @ -17, -86, -27
238632248166501, 346300590151779, 309004635219439 @ 66, -103, 26
341194209911093, 353534807020195, 135794093122793 @ -106, -85, 310
301432759812053, 342060586544947, 222327745155185 @ 59, -15, -57
371711499291941, 399219161110975, 242683970572882 @ -134, -179, 158
316271466129173, 364034032826419, 194526193542641 @ 98, -68, -225
368278994687085, 361265414214411, 295890220941673 @ -147, -124, 8
310587238911550, 357566571130438, 201579179532636 @ 23, -80, 24
277239185310903, 224265975853887, 358096476394667 @ -21, 23, 46
386037425914748, 241960047305104, 448098785319860 @ -151, 22, -100
315078048368444, 397987070878630, 225531113442221 @ -43, -200, 109
296524945208531, 365799923335810, 380133277048847 @ 52, -122, -565
393549222959663, 231005568450907, 526604454053462 @ -156, 25, -170
343637115842399, 529901670211264, 237925363576607 @ -100, -398, 135
322371779381428, 245878554603369, 556420394432461 @ -73, -13, -139
204387183192853, 223442125727539, 425529137843441 @ 62, 25, -32
326714204756801, 374718574192573, 166924511797313 @ 40, -190, -87
348865038382197, 400225355062479, 238275811298265 @ -198, -373, -483
266187173712086, 212326525512415, 191693748167030 @ 261, 661, 40
472003620323285, 517008364249459, 443754286552817 @ -317, -388, -219
372042638262818, 275623493933894, 386225368072976 @ -227, 222, -638
122992776975599, 140149129026023, 88987187791704 @ 196, 165, 360
273359498615408, 295769201967433, 180783572391983 @ 39, 11, 211
232426841958251, 318587485962852, 394159844631721 @ 28, -84, 9
203812800418703, 175428957194703, 353140652762667 @ 49, 59, 72
226166227152693, 230909778494326, 275610394540285 @ 74, 64, 93
216550148725297, 357191377108396, 61125096662047 @ 86, -122, 407
411269718193557, 552313344129718, 367737687952355 @ -214, -446, -89
